start_time,end_time,activity,day
1900-01-01 20:05:00,1900-01-01 20:12:00,S,Jour de Pose
1900-01-01 20:38:00,1900-01-01 21:05:00,A,Jour de Pose
1900-01-01 21:09:00,1900-01-01 21:15:00,P,Jour de Pose
1900-01-02 08:05:00,1900-01-02 08:15:00,T,Jour 1
1900-01-02 08:15:00,1900-01-02 08:23:00,H,Jour 1
1900-01-02 08:34:00,1900-01-02 08:45:00,S,Jour 1
1900-01-02 09:15:00,1900-01-02 10:00:00,P,Jour 1
1900-01-02 08:45:00,1900-01-02 09:15:00,A,Jour 1
1900-01-02 14:00:00,1900-01-02 14:33:00,A,Jour 1
1900-01-02 19:30:00,1900-01-02 20:04:00,T,Jour 1
1900-01-03 20:00:00,1900-01-03 21:40:00,A,Jour 1
1900-01-03 09:40:00,1900-01-03 10:50:00,A,Jour 2
1900-01-03 11:08:00,1900-01-03 11:15:00,H,Jour 2
1900-01-03 13:28:00,1900-01-03 13:48:00,A,Jour 2
1900-01-03 17:16:00,1900-01-03 17:30:00,S,Jour 2
1900-01-03 20:47:00,1900-01-03 21:00:00,A,Jour 2
1900-01-03 21:01:00,1900-01-03 21:05:00,P,Jour 2
1900-01-04 07:14:00,1900-01-04 07:28:00,T,Jour 3
1900-01-04 07:29:00,1900-01-04 07:39:00,H,Jour 3
1900-01-04 07:44:00,1900-01-04 08:03:00,A,Jour 3
1900-01-04 13:30:00,1900-01-04 23:35:00,P,Jour 3
1900-01-04 13:35:00,1900-01-04 14:24:00,A,Jour 3
1900-01-04 14:25:00,1900-01-04 14:30:00,P,Jour 3
1900-01-05 00:00:00,1900-01-05 00:08:00,H,Jour 4
1900-01-05 07:15:00,1900-01-05 07:30:00,T,Jour 4
1900-01-05 07:31:00,1900-01-05 07:35:00,H,Jour 4
1900-01-05 07:40:00,1900-01-05 08:15:00,A,Jour 4
1900-01-05 13:15:00,1900-01-05 14:00:00,A,Jour 4
1900-01-05 20:30:00,1900-01-05 21:03:00,A,Jour 4
1900-01-05 20:20:00,1900-01-05 20:34:00,T,Jour 4
1900-01-06 07:36:00,1900-01-06 07:44:00,T,Jour 5
1900-01-06 07:45:00,1900-01-06 08:18:00,A,Jour 5
1900-01-06 08:19:00,1900-01-06 08:31:00,P,Jour 5
1900-01-06 13:30:00,1900-01-06 13:35:00,P,Jour 5
1900-01-06 13:32:00,1900-01-06 14:05:00,A,Jour 5
1900-01-06 14:05:00,1900-01-06 14:10:00,P,Jour 5
1900-01-06 16:40:00,1900-01-06 18:10:00,Kiné,Jour 5
1900-01-06 20:02:00,1900-01-06 20:07:00,P,Jour 5
1900-01-06 20:07:00,1900-01-06 20:39:00,A,Jour 5
1900-01-06 20:39:00,1900-01-06 20:44:00,P,Jour 5
